ocid,id,awards/0/id,awards/0/suppliers/0/id,awards/0/suppliers/0/name
ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1,ocds-lcuori-gRNjoR-CM-008-HBCBH-2016-1/3,gRNjoR-CM-008-HBCBH-2016-1,HN-RTN-08011980092233,Extintores de Honduras
ocds-lcuori-Zr57xG-CM-240-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-240-IMFFAA-2016-1/3,Zr57xG-CM-240-IMFFAA-2016-1,SZGqYBG,AIRE FRIO DE HONDURAS S.A.
ocds-lcuori-XRbOkr-CS-CSJ-2016-0739-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0739-1/3,XRbOkr-CS-CSJ-2016-0739-1,HN-RTN-08019000235234,LARACH Y COMPAÑIA S DE R.L DE C.V 
ocds-lcuori-7GXa9R-CMA2-UDH-039-2016-1,ocds-lcuori-7GXa9R-CMA2-UDH-039-2016-1/4,7GXa9R-CMA2-UDH-039-2016-1,HN-RTN-08011959059399,RIGOBERTO RAUDALES MONCADA * Compra Menor
ocds-lcuori-DRWQ0L-HONDUCOR-DC-823-2016-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-823-2016-1/3,DRWQ0L-HONDUCOR-DC-823-2016-1,HN-RTN-08018006049427,on Relojeria Latinoamericana (Urla)
ocds-lcuori-XRbOkr-CS-CSJ-2016-0765-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0765-1/3,XRbOkr-CS-CSJ-2016-0765-1,HND-IDCARD-08019010343226,Sertecd
ocds-lcuori-XRbOkr-CS-CSJ-2016-0766-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0766-1/3,XRbOkr-CS-CSJ-2016-0766-1,HND-IDCARD-08019010343226,Sertecd
ocds-lcuori-XRb6JR-REQ-DP-42-2016-2-1,ocds-lcuori-XRb6JR-REQ-DP-42-2016-2-1/3,XRb6JR-REQ-DP-42-2016-2-1,HN-RTN-8019002268298,EYL COMERCIAL SA
ocds-lcuori-MrMPYR-181-2016-1,ocds-lcuori-MrMPYR-181-2016-1/3,MrMPYR-181-2016-1,HN-RTN-080119995343495,"Agencia de Viajes Esther S. A, de C. V"
ocds-lcuori-Zr57xG-CM-249-IMFFAA-2016-1,ocds-lcuori-Zr57xG-CM-249-IMFFAA-2016-1/4,Zr57xG-CM-249-IMFFAA-2016-1,HN-RTN-08019003244050,GERMAR FERRETERIA S. DE R.L * Compra Menor
ocds-lcuori-XRbOkr-CS-CSJ-2016-0789-1,ocds-lcuori-XRbOkr-CS-CSJ-2016-0789-1/3,XRbOkr-CS-CSJ-2016-0789-1,HN-RTN-05019999400238,JETSTEREO S.A. DE C.V.
ocds-lcuori-7G3MNr-492016-1,ocds-lcuori-7G3MNr-492016-1/3,7G3MNr-492016-1,HN-RTN-08019009254693,Corporación Medica S. de R.L. de C.V.
ocds-lcuori-PLeAqL-COPECO-CM-211-2016-1,ocds-lcuori-PLeAqL-COPECO-CM-211-2016-1/3,PLeAqL-COPECO-CM-211-2016-1,HN-RTN-08019008147723,EMPRESA LITOGRAFICO IBERIA S DER. L
ocds-lcuori-DRWQ0L-HONDUCOR-DC-824-2016-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-824-2016-1/3,DRWQ0L-HONDUCOR-DC-824-2016-1,HN-RTN-15091977002040,Industrias e Impresiones Mias / Darwin Saul Turcios Rivera 
ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1,ocds-lcuori-ERpWgG-SRE-COTIZACION No.071-2016-1/3,ERpWgG-SRE-COTIZACION No.071-2016-1,SL7p4PG,EMPRESA NACIONAL DE ARTES GRAFICAS (ENAG)
ocds-lcuori-WRzj0R-CM-004306-PV-2016-1,ocds-lcuori-WRzj0R-CM-004306-PV-2016-1/3,WRzj0R-CM-004306-PV-2016-1,HN-RTN-05119998390898,Didema S.A. de C.V
ocds-lcuori-DL9kwR-CC-6615-TSC-2016-1,ocds-lcuori-DL9kwR-CC-6615-TSC-2016-1/3,DL9kwR-CC-6615-TSC-2016-1,HN-RTN-JECT9SA,Periodicos y Revistas  S.A De  C.V 
ocds-lcuori-DL9kwR-CC-6618-TSC-2016-1,ocds-lcuori-DL9kwR-CC-6618-TSC-2016-1/3,DL9kwR-CC-6618-TSC-2016-1,HN-RTN-JECT9SA,Periodicos y Revistas  S.A De  C.V 
ocds-lcuori-DL9kwR-CC-6622-TSC-2016-1,ocds-lcuori-DL9kwR-CC-6622-TSC-2016-1/4,DL9kwR-CC-6622-TSC-2016-1,HN-RTN-08019002276446,"Termo Aire, S. de R. L. * Compra Menor"
ocds-lcuori-DL9kwR-CC-6625-TSC-2016-1,ocds-lcuori-DL9kwR-CC-6625-TSC-2016-1/3,DL9kwR-CC-6625-TSC-2016-1,HN-RTN-08011978096857,CAKE TO GO
ocds-lcuori-yRlZYL-SEP-GA-33-2016-1,ocds-lcuori-yRlZYL-SEP-GA-33-2016-1/3,yRlZYL-SEP-GA-33-2016-1,HN-RTN-05019995092273,"Suministros Electricos, Sociedada de Responsabilidad Limitada de Capital Variable"
ocds-lcuori-PLeAqL-CM-COPECO-015-2016-1,ocds-lcuori-PLeAqL-CM-COPECO-015-2016-1/3,PLeAqL-CM-COPECO-015-2016-1,HN-RTN-08019000235234,LARACH Y COMPAÑIA S DE R.L DE C.V 
ocds-lcuori-DRWQ0L-HONDUCOR-DC-180-2016-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-180-2016-1/3,DRWQ0L-HONDUCOR-DC-180-2016-1,HN-RTN-.08011960085367,JM REPUESTOS Y ACCESORIOS
ocds-lcuori-DRWQ0L-HONDUCOR-DC-177-2016-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-177-2016-1/3,DRWQ0L-HONDUCOR-DC-177-2016-1,HN-RTN-.08011960085367,JM REPUESTOS Y ACCESORIOS
ocds-lcuori-2LAzdG-adq-255-2016-1,ocds-lcuori-2LAzdG-adq-255-2016-1/3,2LAzdG-adq-255-2016-1,HN-RTN-08011980121095,INVERSIONES SAUCEDA
ocds-lcuori-orvovL-UNAH-SEAF-OC-4825-2016-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-4825-2016-1/3,orvovL-UNAH-SEAF-OC-4825-2016-1,HN-RTN-ceromadura,"JETSTEREO, S.A. DE C.V."
ocds-lcuori-PLeAqL-CM-COPECO-018-2016-1,ocds-lcuori-PLeAqL-CM-COPECO-018-2016-1/3,PLeAqL-CM-COPECO-018-2016-1,HN-RTN-08019007057553,Soluciones Tecnológicas S.A.
